player_id,player_name,birth_date,position,is_active,weight,height,draft_year
1630173,Precious Achiuwa,1999-09-19T00:00:00,Forward,1,243,6-8,2020
203500,Steven Adams,1993-07-20T00:00:00,Center,1,265,6-11,2013
1628389,Bam Adebayo,1997-07-18T00:00:00,Center-Forward,1,255,6-9,2017
1630534,Ochai Agbaji,2000-04-20T00:00:00,Guard,1,215,6-5,2022
1630583,Santi Aldama,2001-01-10T00:00:00,Forward-Center,1,215,7-0,2021
1641725,Trey Alexander,2003-05-02T00:00:00,Guard,1,185,6-4,Undrafted
1629638,Nickeil Alexander-Walker,1998-09-02T00:00:00,Guard,1,205,6-5,2019
1628960,Grayson Allen,1995-10-08T00:00:00,Guard,1,198,6-4,2018
1628386,Jarrett Allen,1998-04-21T00:00:00,Center,1,243,6-9,2017
1630631,Jose Alvarado,1998-04-12T00:00:00,Guard,1,179,6-0,Undrafted
203937,Kyle Anderson,1993-09-20T00:00:00,Forward-Guard,1,230,6-9,2014
203507,Giannis Antetokounmpo,1994-12-06T00:00:00,Forward,1,243,6-11,2013
1630175,Cole Anthony,2000-05-15T00:00:00,Guard,1,185,6-2,2020
1628384,OG Anunoby,1997-07-17T00:00:00,Forward-Guard,1,240,6-7,2017
1630166,Deni Avdija,2001-01-03T00:00:00,Forward,1,240,6-9,2020
1629028,Deandre Ayton,1998-07-23T00:00:00,Center,1,252,7-0,2018
1630542,Marcus Bagley,2001-10-23T00:00:00,Forward,0,217,6-6,Undrafted
1628963,Marvin Bagley III,1999-03-14T00:00:00,Forward,1,235,6-10,2018
1631116,Patrick Baldwin Jr.,2002-11-18T00:00:00,Forward,1,220,6-9,2022
1630163,LaMelo Ball,2001-08-22T00:00:00,Guard,1,180,6-7,2020
1628366,Lonzo Ball,1997-10-27T00:00:00,Guard,1,190,6-6,2017
1628964,Mo Bamba,1998-05-12T00:00:00,Center,0,231,7-0,2018
1631094,Paolo Banchero,2002-11-12T00:00:00,Forward,1,250,6-10,2022
1630217,Desmond Bane,1998-06-25T00:00:00,Guard,1,215,6-5,2020
1630625,Dalano Banton,1999-11-07T00:00:00,Forward,1,203,6-8,2021
1631230,Dominick Barlow,2003-05-26T00:00:00,Forward,1,215,6-8,Undrafted
203084,Harrison Barnes,1992-05-30T00:00:00,Forward,1,225,6-8,2012
1630567,Scottie Barnes,2001-08-01T00:00:00,Forward-Guard,1,237,6-7,2021
1629628,RJ Barrett,2000-06-14T00:00:00,Forward-Guard,1,214,6-6,2019
1629646,Charles Bassey,2000-10-28T00:00:00,Center-Forward,1,230,6-10,2021
1641734,Emoni Bates,2004-01-28T00:00:00,Forward,1,202,6-8,2023
1642419,Jamison Battle,2001-05-10T00:00:00,Forward,1,220,6-7,Undrafted
201587,Nicolas Batum,1988-12-14T00:00:00,Guard-Forward,1,230,6-8,2008
1641878,Damion Baugh,2000-08-03T00:00:00,Guard,1,194,6-4,Undrafted
203078,Bradley Beal,1993-06-28T00:00:00,Guard,1,207,6-4,2012
1627736,Malik Beasley,1996-11-26T00:00:00,Guard,1,187,6-4,2016
1630699,MarJon Beauchamp,2000-10-12T00:00:00,Forward,1,199,6-7,2022
1641736,Reece Beekman,2001-10-08T00:00:00,Guard,1,190,6-3,Undrafted
1629048,Goga Bitadze,1999-07-20T00:00:00,Center-Forward,1,250,6-10,2019
202687,Bismack Biyombo,1992-08-28T00:00:00,Center,1,255,6-8,2011
1641710,Anthony Black,2004-01-20T00:00:00,Guard,1,200,6-7,2023
203992,Bogdan Bogdanović,1992-08-18T00:00:00,Guard,1,225,6-5,2014
1629626,Bol Bol,1999-11-16T00:00:00,Center-Forward,1,220,7-3,2019
1641737,Adem Bona,2003-03-28T00:00:00,Forward,1,235,6-10,2024
1626164,Devin Booker,1996-10-30T00:00:00,Guard,1,206,6-6,2015
1630527,Brandon Boston,2001-11-28T00:00:00,Guard,1,188,6-6,2021
1628449,Chris Boucher,1993-01-11T00:00:00,Forward,1,200,6-9,Undrafted
1631123,Jamaree Bouyea,1999-06-27T00:00:00,Guard,1,180,6-2,Undrafted
1628396,Tony Bradley,1998-01-08T00:00:00,Center-Forward,1,248,6-11,2017
1631103,Malaki Branham,2003-05-12T00:00:00,Forward,1,180,6-4,2022
1631128,Christian Braun,2001-04-17T00:00:00,Guard,1,220,6-6,2022
1641779,Jalen Bridges,2001-05-14T00:00:00,Forward,1,225,6-8,Undrafted
1628969,Mikal Bridges,1996-08-30T00:00:00,Guard-Forward,1,209,6-6,2018
1628970,Miles Bridges,1998-03-21T00:00:00,Forward,1,225,6-7,2018
1629052,Oshae Brissett,1998-06-20T00:00:00,Forward-Guard,0,210,6-7,Undrafted
1627763,Malcolm Brogdon,1992-12-11T00:00:00,Guard,1,229,6-4,2016
1628415,Dillon Brooks,1996-01-22T00:00:00,Guard-Forward,1,225,6-6,2017
1631232,Keion Brooks Jr.,2000-08-07T00:00:00,Forward,1,210,6-7,Undrafted
1628971,Bruce Brown,1996-08-15T00:00:00,Guard-Forward,1,202,6-4,2018
1627759,Jaylen Brown,1996-10-24T00:00:00,Guard-Forward,1,223,6-6,2016
1641738,Kobe Brown,2000-01-01T00:00:00,Forward,1,250,6-7,2023
1629650,Moses Brown,1999-10-13T00:00:00,Center,0,258,7-2,Undrafted
1628973,Jalen Brunson,1996-08-31T00:00:00,Guard,1,190,6-2,2018
1628418,Thomas Bryant,1997-07-31T00:00:00,Center-Forward,1,248,6-10,2017
1641723,Kobe Bufkin,2003-09-21T00:00:00,Guard,1,195,6-4,2023
202692,Alec Burks,1991-07-20T00:00:00,Guard,1,214,6-5,2011
1630215,Jared Butler,2000-08-25T00:00:00,Guard,1,193,6-3,2021
202710,Jimmy Butler III,1989-09-14T00:00:00,Forward,1,230,6-7,2011
1641824,Matas Buzelis,2004-10-13T00:00:00,Forward,1,209,6-10,2024
1631288,Jamal Cain,1999-03-20T00:00:00,Forward,1,191,6-6,Undrafted
203484,Kentavious Caldwell-Pope,1993-02-18T00:00:00,Guard,1,204,6-5,2013
1641739,Toumani Camara,2000-05-08T00:00:00,Forward,1,229,6-7,2023
203991,Clint Capela,1994-05-18T00:00:00,Center,1,256,6-10,2014
1642382,Branden Carlson,1999-06-14T00:00:00,Center,1,220,7-0,Undrafted
1642267,Bub Carrington,2005-07-21T00:00:00,Guard,1,190,6-4,2024
1642269,Devin Carter,2002-03-18T00:00:00,Guard,1,195,6-2,2024
1628975,Jevon Carter,1995-09-14T00:00:00,Guard,1,200,6-1,2018
1628976,Wendell Carter Jr.,1999-04-16T00:00:00,Center-Forward,1,270,6-10,2018
1630618,D.J. Carton,2000-08-05T00:00:00,Guard,0,200,6-3,Undrafted
1627936,Alex Caruso,1994-02-28T00:00:00,Guard,1,186,6-5,Undrafted
1642264,Stephon Castle,2004-11-01T00:00:00,Guard,1,215,6-6,2024
1630658,Colin Castleton,2000-05-25T00:00:00,Center,1,250,6-10,Undrafted
1630577,Julian Champagnie,2001-06-29T00:00:00,Forward,1,217,6-7,Undrafted
1630551,Justin Champagnie,2001-06-29T00:00:00,Guard-Forward,1,206,6-6,Undrafted
1642279,Ulrich Chomche,2005-12-30T00:00:00,Center,1,235,6-11,2024
1642353,Cam Christie,2005-07-24T00:00:00,Guard,1,190,6-6,2024
1631108,Max Christie,2003-02-10T00:00:00,Guard,1,190,6-5,2022
1630528,Josh Christopher,2001-12-08T00:00:00,Guard,1,215,6-4,2021
1631321,Sidy Cissoko,2004-04-02T00:00:00,Guard,1,200,6-6,2023
1641740,Jaylen Clark,2001-10-13T00:00:00,Guard,1,205,6-4,2023
1629634,Brandon Clarke,1996-09-19T00:00:00,Forward,1,215,6-8,2019
203903,Jordan Clarkson,1992-06-07T00:00:00,Guard,1,194,6-3,2014
1629651,Nic Claxton,1999-04-17T00:00:00,Center,1,215,6-11,2019
1642270,Donovan Clingan,2004-02-23T00:00:00,Center,1,280,7-2,2024
1641730,Noah Clowney,2004-07-14T00:00:00,Forward-Center,1,210,6-9,2023
1629599,Amir Coffey,1997-06-17T00:00:00,Guard-Forward,1,210,6-7,Undrafted
1642268,Isaiah Collier,2004-10-08T00:00:00,Guard,1,210,6-3,2024
1628381,John Collins,1997-09-23T00:00:00,Forward-Center,1,226,6-9,2017
1641879,Yuri Collins,2001-03-07T00:00:00,Guard,0,190,6-0,Undrafted
1628380,Zach Collins,1997-11-19T00:00:00,Forward-Center,1,250,6-11,2017
201144,Mike Conley,1987-10-11T00:00:00,Guard,1,175,6-0,2007
1626192,Pat Connaughton,1993-01-06T00:00:00,Guard,1,209,6-5,2015
1641731,Bilal Coulibaly,2004-07-26T00:00:00,Guard,1,195,6-8,2023
1641741,Ricky Council IV,2001-08-03T00:00:00,Guard,1,207,6-6,Undrafted
1628470,Torrey Craig,1990-12-19T00:00:00,Forward,1,221,6-5,Undrafted
1642384,Isaiah Crawford,2001-11-01T00:00:00,Forward,1,220,6-6,Undrafted
203109,Jae Crowder,1990-07-06T00:00:00,Forward,1,235,6-6,2012
1630595,Cade Cunningham,2001-09-25T00:00:00,Guard,1,220,6-6,2021
203552,Seth Curry,1990-08-23T00:00:00,Guard,1,185,6-1,Undrafted
201939,Stephen Curry,1988-03-14T00:00:00,Guard,1,185,6-2,2009
1642359,Pacôme Dadiet,2005-07-27T00:00:00,Forward,1,210,6-8,2024
1630700,Dyson Daniels,2003-03-17T00:00:00,Guard,1,199,6-7,2022
1642368,N'Faly Dante,2001-10-19T00:00:00,Center,1,230,6-11,Undrafted
203076,Anthony Davis,1993-03-11T00:00:00,Forward-Center,1,253,6-10,2012
1631098,Johnny Davis,2002-02-27T00:00:00,Guard,0,195,6-4,2022
1629056,Terence Davis,1997-05-16T00:00:00,Guard,1,201,6-4,Undrafted
1631120,JD Davison,2002-10-03T00:00:00,Guard,1,195,6-1,2022
201942,DeMar DeRozan,1989-08-07T00:00:00,Guard-Forward,1,220,6-6,2009
1642484,RayJ Dennis,2001-03-30T00:00:00,Guard,1,180,6-2,Undrafted
1628978,Donte DiVincenzo,1997-01-31T00:00:00,Guard,1,203,6-4,2018
1631217,Moussa Diabaté,2002-01-21T00:00:00,Forward,1,210,6-9,2022
1641711,Gradey Dick,2003-11-20T00:00:00,Guard-Forward,1,200,6-6,2023
1631172,Ousmane Dieng,2003-05-21T00:00:00,Forward,1,185,6-9,2022
1642265,Rob Dillingham,2005-01-04T00:00:00,Guard,1,175,6-3,2024
203915,Spencer Dinwiddie,1993-04-06T00:00:00,Guard,1,215,6-5,2014
1629029,Luka Dončić,1999-02-28T00:00:00,Forward-Guard,1,230,6-6,2018
