shot_id,player_id,game_id,shot_type,result,minutes_remaining,seconds_remaining
1,1628436,22201042,2PT,missed,4,37
2,1628436,22201042,3PT,made,9,37
3,1628436,22201042,2PT,missed,2,31
4,1628436,22201042,FT,missed,1,32
5,1629639,22201042,FT,missed,7,27
6,1629639,22201042,3PT,missed,7,4
7,1629639,22201042,3PT,missed,4,45
8,1629639,22201042,FT,made,0,54
9,1629639,22201042,FT,missed,7,3
10,203109,22201042,FT,missed,9,33
11,203109,22201042,2PT,made,8,32
12,101108,22201042,2PT,missed,1,31
13,101108,22201042,3PT,made,0,10
14,101108,22201042,3PT,missed,3,9
15,101108,22201042,3PT,missed,6,21
16,101108,22201042,3PT,missed,10,50
17,1642502,22201042,2PT,missed,1,26
18,1642502,22201042,3PT,missed,10,25
19,1642348,22201042,FT,missed,8,30
20,1641736,22201042,FT,made,9,45
21,1641736,22201042,2PT,missed,5,44
22,1641736,22201042,3PT,missed,9,29
23,1630581,22201042,2PT,made,11,41
24,1630581,22201042,3PT,made,7,45
25,1630581,22201042,3PT,missed,5,12
26,1626181,22201042,3PT,made,9,33
27,1626181,22201042,3PT,made,5,31
28,1626181,22201042,3PT,made,6,55
29,1626181,22201042,FT,missed,3,40
30,1626181,22201042,3PT,missed,10,22
31,202066,22201042,FT,made,7,27
32,202066,22201042,2PT,missed,6,47
33,202066,22201042,3PT,missed,4,54
34,202066,22201042,3PT,made,11,38
35,1628380,22000866,FT,missed,6,8
36,1628380,22000866,3PT,missed,3,42
37,1628380,22000866,3PT,made,2,37
38,203897,22000866,3PT,made,2,48
39,1641729,22000866,FT,missed,3,43
40,1641729,22000866,FT,missed,10,31
41,1641729,22000866,FT,made,10,15
42,1641729,22000866,2PT,made,5,23
43,1641729,22000866,FT,missed,10,29
44,1629622,22000866,2PT,made,9,17
45,1629622,22000866,3PT,missed,7,38
46,1629618,22000866,2PT,missed,5,40
47,1629618,22000866,FT,missed,8,46
48,1629618,22000866,FT,made,9,22
49,1629618,22000866,FT,missed,5,54
50,1629618,22000866,2PT,made,11,50
51,1628960,22000866,2PT,made,6,14
52,1628960,22000866,FT,made,11,56
53,1628960,22000866,FT,missed,6,51
54,1641711,22000866,2PT,missed,2,34
55,1641711,22000866,FT,made,7,7
56,1641711,22000866,2PT,made,4,48
57,203501,22000866,2PT,missed,4,20
58,203501,22000866,2PT,made,0,8
59,203501,22000866,FT,missed,5,21
60,1642449,22000866,3PT,missed,4,10
61,1631097,22000866,2PT,missed,2,24
62,1631097,22000866,2PT,missed,2,2
63,1631097,22000866,3PT,missed,10,50
64,1631097,22000866,FT,made,3,33
65,1627884,22100527,2PT,made,7,27
66,1627884,22100527,2PT,missed,2,48
67,1627884,22100527,3PT,made,7,44
68,1630168,22100527,2PT,missed,6,27
69,1629003,22100527,FT,missed,3,50
70,1629003,22100527,3PT,made,6,30
71,1629003,22100527,2PT,missed,1,32
72,1628997,22100527,FT,made,8,26
73,1629013,22100527,2PT,missed,5,26
74,1629013,22100527,3PT,made,0,13
75,1628365,22100527,2PT,missed,5,54
76,1628427,22100527,FT,made,0,30
77,1628427,22100527,FT,made,5,8
78,1628427,22100527,3PT,missed,2,39
79,1628427,22100527,2PT,made,9,58
80,1630534,22100527,2PT,made,0,49
81,1630534,22100527,2PT,missed,6,26
82,1642348,22100527,FT,made,2,14
83,1642348,22100527,3PT,missed,9,8
84,1629018,22100527,3PT,made,7,55
85,1629018,22100527,3PT,made,8,20
86,1629018,22100527,2PT,missed,11,23
87,1630188,21900003,3PT,missed,10,11
88,1630188,21900003,3PT,made,3,16
89,1630188,21900003,FT,missed,11,30
90,1630314,21900003,FT,made,4,33
91,1626172,21900003,2PT,made,0,58
92,1626172,21900003,3PT,made,2,12
93,1641711,21900003,3PT,missed,3,47
94,1641711,21900003,3PT,made,5,15
95,1641711,21900003,2PT,missed,9,42
96,1630164,21900003,3PT,missed,3,53
97,1630164,21900003,FT,missed,6,18
98,1630164,21900003,3PT,missed,7,37
99,1630164,21900003,FT,missed,0,42
100,1642281,21900003,FT,made,3,21
101,1642281,21900003,FT,made,3,43
102,1642281,21900003,2PT,missed,5,15
103,1642367,21900003,3PT,made,6,11
104,1642367,21900003,FT,made,9,3
105,1642367,21900003,2PT,missed,11,51
106,1642367,21900003,3PT,missed,5,54
107,1642367,21900003,2PT,missed,4,53
108,1629060,21900003,2PT,missed,3,20
