player_id,team_id,season_id,points_per_game,assists_per_game,rebounds_per_game,blocks_per_game
1630173,1610612748,2020,304,29,208,28
1630173,1610612761,2021,664,82,473,41
1630173,1610612761,2022,508,50,328,30
1630173,1610612761,2023,193,44,136,12
1630173,1610612752,2023,372,53,351,56
1630173,0,2023,565,97,487,68
1630173,1610612752,2024,379,55,317,42
203500,1610612740,2020,438,111,514,38
203500,1610612763,2021,528,256,760,60
203500,1610612763,2022,361,97,485,46
203500,1610612745,2024,225,66,327,28
1628389,1610612748,2020,1197,346,573,66
1628389,1610612748,2021,1068,190,564,44
1628389,1610612748,2022,1529,240,688,61
1628389,1610612748,2023,1367,278,737,66
1628389,1610612748,2024,1410,337,749,53
1630534,1610612762,2022,467,67,121,15
1630534,1610612762,2023,274,47,126,29
1630534,1610612761,2023,181,36,90,15
1630534,0,2023,455,83,216,44
1630534,1610612761,2024,667,98,242,30
1630583,1610612763,2021,132,21,87,10
1630583,1610612763,2022,696,97,371,48
1630583,1610612763,2023,654,138,352,54
1630583,1610612763,2024,811,188,416,29
1641725,1610612743,2024,32,11,12,1
1629638,1610612740,2020,508,102,144,22
1629638,1610612740,2021,639,139,164,19
1629638,1610612762,2021,53,17,23,4
1629638,0,2021,692,156,187,23
1629638,1610612762,2022,228,76,59,14
1629638,1610612750,2022,135,32,42,7
1629638,0,2022,363,108,101,21
1629638,1610612750,2023,655,204,167,42
1629638,1610612750,2024,773,223,265,34
1628960,1610612763,2020,532,108,160,8
1628960,1610612749,2021,733,100,222,18
1628960,1610612749,2022,750,163,237,14
1628960,1610612756,2023,1014,227,295,45
1628960,1610612756,2024,680,137,194,19
1628386,1610612751,2020,134,20,125,19
1628386,1610612739,2020,672,86,506,71
1628386,0,2020,806,106,631,90
1628386,1610612739,2021,904,92,602,75
1628386,1610612739,2022,969,113,666,84
1628386,1610612739,2023,1271,210,811,81
1628386,1610612739,2024,1103,158,798,73
1630631,1610612740,2021,330,152,100,7
1630631,1610612740,2022,550,186,141,10
1630631,1610612740,2023,397,117,128,15
1630631,1610612740,2024,579,259,136,14
203937,1610612763,2020,854,250,396,57
203937,1610612763,2021,521,183,368,45
203937,1610612750,2022,647,335,368,63
203937,1610612750,2023,506,331,273,47
203937,1610612744,2024,189,81,110,20
203937,1610612748,2024,168,64,96,13
203937,0,2024,357,145,206,33
203507,1610612749,2020,1717,357,671,73
203507,1610612749,2021,2002,388,778,91
203507,1610612749,2022,1959,359,742,51
203507,1610612749,2023,2222,476,841,79
203507,1610612749,2024,2036,433,798,78
1630175,1610612753,2020,605,192,221,18
1630175,1610612753,2021,1062,369,348,17
1630175,1610612753,2022,781,235,288,31
1630175,1610612753,2023,937,236,311,37
1630175,1610612753,2024,630,191,204,32
1628384,1610612761,2020,682,94,237,32
1628384,1610612761,2021,822,125,264,25
1628384,1610612761,2022,1124,131,332,50
1628384,1610612761,2023,408,72,106,13
1628384,1610612752,2023,325,35,102,23
1628384,0,2023,733,107,208,36
1628384,1610612752,2024,1332,164,358,65
1630166,1610612764,2020,342,63,262,15
1630166,1610612764,2021,685,167,425,44
1630166,1610612764,2022,697,211,487,29
1630166,1610612764,2023,1102,286,540,36
1630166,1610612757,2024,1219,281,522,35
1629028,1610612756,2020,997,99,727,81
1629028,1610612756,2021,997,84,593,40
1629028,1610612756,2022,1203,115,667,53
1629028,1610612757,2023,920,90,609,42
1629028,1610612757,2024,576,64,406,39
1630542,1610612755,2024,67,10,70,12
1628963,1610612758,2020,608,43,318,21
1628963,1610612758,2021,278,17,215,11
1628963,1610612765,2021,262,19,123,7
1628963,0,2021,540,36,338,18
1628963,1610612765,2022,504,36,269,30
1628963,1610612765,2023,265,27,118,14
1628963,1610612764,2023,318,28,194,19
1628963,0,2023,583,55,312,33
1628963,1610612764,2024,93,7,56,5
1628963,1610612763,2024,43,4,28,3
1628963,0,2024,136,11,84,8
1631116,1610612744,2022,122,11,40,4
1631116,1610612764,2023,168,29,123,15
1631116,1610612764,2024,47,2,22,2
1631116,1610612746,2024,6,1,3,0
1631116,0,2024,53,3,25,2
1630163,1610612766,2020,803,313,302,18
1630163,1610612766,2021,1508,571,501,30
1630163,1610612766,2022,838,304,231,11
1630163,1610612766,2023,526,176,113,4
1630163,1610612766,2024,1184,346,232,13
1628366,1610612740,2020,802,316,263,31
1628366,1610612741,2021,455,178,190,31
1628366,1610612741,2024,267,115,118,17
1628964,1610612753,2020,367,35,265,58
1628964,1610612753,2021,756,85,572,118
1628964,1610612753,2022,290,42,184,38
1628964,1610612747,2022,33,4,41,5
1628964,0,2022,323,46,225,43
1628964,1610612755,2023,253,41,238,60
1628964,1610612746,2024,128,16,120,28
1628964,1610612740,2024,10,2,25,3
1628964,0,2024,138,18,145,31
1631094,1610612753,2022,1437,269,497,39
1631094,1610612753,2023,1804,431,554,47
1631094,1610612753,2024,1191,219,345,28
1630217,1610612763,2020,625,118,210,16
1630217,1610612763,2021,1384,208,334,29
1630217,1610612763,2022,1247,254,291,22
1630217,1610612763,2023,997,230,185,22
1630217,1610612763,2024,1327,369,418,28
1630625,1610612761,2021,205,99,124,10
1630625,1610612761,2022,142,36,45,13
1630625,1610612738,2023,56,19,35,3
1630625,1610612757,2023,501,108,143,17
1630625,0,2023,557,127,178,20
1630625,1610612757,2024,559,160,135,34
1631230,1610612759,2022,110,24,102,19
1631230,1610612759,2023,144,36,113,14
1631230,1610612737,2024,148,19,85,16
203084,1610612758,2020,933,201,385,11
203084,1610612758,2021,1265,186,432,14
203084,1610612758,2022,1230,128,366,10
203084,1610612758,2023,1000,99,249,12
203084,1610612759,2024,1011,136,310,14
1630567,1610612761,2021,1134,256,557,55
1630567,1610612761,2022,1179,371,512,61
1630567,1610612761,2023,1191,363,494,88
1630567,1610612761,2024,1252,378,502,63
1629628,1610612752,2020,1264,217,414,20
1629628,1610612752,2021,1402,208,408,16
1629628,1610612752,2022,1431,201,368,15
1629628,1610612752,2023,474,63,111,9
1629628,1610612761,2023,696,130,204,13
1629628,0,2023,1170,193,315,22
1629628,1610612761,2024,1223,314,366,17
1629646,1610612755,2021,69,7,62,17
1629646,1610612759,2022,199,48,193,33
1629646,1610612759,2023,63,21,76,17
1629646,1610612759,2024,157,17,152,30
1641734,1610612739,2023,41,10,14,2
1641734,1610612739,2024,37,8,7,1
1642419,1610612761,2024,419,53,158,10
201587,1610612746,2020,540,148,316,37
201587,1610612746,2021,491,100,254,42
201587,1610612746,2022,478,121,299,44
201587,1610612746,2023,8,5,7,4
201587,1610612755,2023,312,123,241,34
201587,0,2023,320,128,248,38
201587,1610612746,2024,313,84,218,36
1641878,1610612766,2024,109,56,50,2
203078,1610612764,2020,1878,265,283,22
203078,1610612764,2021,928,265,189,15
203078,1610612764,2022,1160,271,196,33
203078,1610612756,2023,964,265,232,27
203078,1610612756,2024,902,195,177,28
1627736,1610612750,2020,724,88,162,7
1627736,1610612750,2021,953,116,227,12
1627736,1610612762,2022,736,93,197,8
1627736,1610612747,2022,289,31,86,1
1627736,0,2022,1025,124,283,9
1627736,1610612749,2023,889,108,290,9
1627736,1610612765,2024,1336,139,214,5
1630699,1610612749,2022,266,35,115,7
1630699,1610612749,2023,211,31,99,7
1630699,1610612749,2024,52,8,32,1
1630699,1610612746,2024,12,2,3,0
1630699,1610612752,2024,15,1,9,0
1630699,0,2024,79,11,44,1
1641736,1610612744,2024,2,1,1,0
1641736,1610612751,2024,91,62,38,2
1641736,0,2024,93,63,39,2
1630180,1610612765,2020,857,95,318,14
1630180,1610612765,2021,1321,233,441,16
1630180,1610612765,2022,771,84,242,12
1630180,1610612737,2022,291,34,120,1
1630180,0,2022,1062,118,362,13
1630180,1610612737,2023,863,92,411,11
1629048,1610612754,2020,231,37,150,60
1629048,1610612754,2021,349,55,177,42
1629048,1610612754,2022,69,18,49,10
1629048,1610612753,2022,98,21,88,16
1629048,0,2022,167,39,137,26
1629048,1610612753,2023,311,79,286,72
1629048,1610612753,2024,502,137,463,98
202687,1610612766,2020,331,81,347,74
202687,1610612756,2021,210,23,167,26
202687,1610612756,2022,263,56,260,88
202687,1610612763,2023,156,51,191,34
202687,1610612760,2023,18,2,18,3
202687,0,2023,174,53,209,37
202687,1610612759,2024,144,31,158,23
1641710,1610612753,2023,316,91,139,21
1641710,1610612753,2024,736,240,230,48
203992,1610612737,2020,720,147,160,13
203992,1610612737,2021,950,194,250,14
203992,1610612737,2022,756,150,165,18
203992,1610612737,2023,1333,247,272,26
203992,1610612737,2024,240,49,66,6
203992,1610612746,2024,343,97,93,5
203992,0,2024,583,146,159,11
1629626,1610612743,2020,69,7,24,10
1629626,1610612743,2021,33,5,20,2
1629626,1610612753,2022,634,69,405,85
1629626,1610612756,2023,223,17,137,25
1629626,1610612756,2024,244,22,104,25
1641737,1610612755,2024,337,27,245,69
1626164,1610612756,2020,1712,289,281,16
1626164,1610612756,2021,1822,329,342,26
1626164,1610612756,2022,1471,293,240,18
1626164,1610612756,2023,1841,472,308,28
1626164,1610612756,2024,1923,529,305,16
1630527,1610612746,2021,343,51,111,13
1630527,1610612746,2022,143,20,30,0
1630527,1610612746,2023,167,13,52,8
1630527,1610612740,2024,448,92,134,9
1628449,1610612761,2020,818,63,404,111
1628449,1610612761,2021,754,25,494,75
1628449,1610612761,2022,712,29,421,64
1628449,1610612761,2023,322,23,207,24
1628449,1610612761,2024,502,33,224,25
1631123,1610612748,2022,15,4,5,2
1631123,1610612764,2022,0,0,1,0
1631123,0,2022,15,4,6,2
1631123,1610612757,2023,10,8,10,0
1631123,1610612759,2023,11,3,9,0
1631123,0,2023,21,11,19,0
1631123,1610612749,2024,17,10,5,2
1628396,1610612755,2020,109,17,104,13
1628396,1610612760,2020,191,20,135,17
1628396,0,2020,300,37,239,30
1628396,1610612741,2021,163,27,186,33
1628396,1610612741,2022,19,1,11,1
1628396,1610612754,2024,61,6,42,9
1631103,1610612759,2022,673,127,181,7
1631103,1610612759,2023,690,156,148,8
1631103,1610612759,2024,235,38,51,2
1631128,1610612743,2022,360,59,181,17
1631128,1610612743,2023,600,132,306,35
1631128,1610612743,2024,1218,205,410,37
1641779,1610612756,2024,9,0,4,0
1628969,1610612756,2020,970,152,309,63
1628969,1610612756,2021,1162,185,347,36
1628969,1610612756,2022,965,201,243,45
1628969,1610612751,2022,706,72,121,16
1628969,0,2022,1671,273,364,61
1628969,1610612751,2023,1606,299,372,30
1628969,1610612752,2024,1444,306,259,43
1628970,1610612766,2020,840,147,397,52
1628970,1610612766,2021,1613,300,559,67
1628970,1610612766,2023,1449,231,505,33
1628970,1610612766,2024,1300,248,481,45
1629052,1610612754,2020,229,18,115,20
1629052,1610612754,2021,613,72,358,29
1629052,1610612754,2022,398,44,218,13
1629052,1610612738,2023,201,44,160,8
1629052,1610612755,2024,52,4,22,3
1627763,1610612754,2020,1186,329,294,15
1627763,1610612754,2021,687,212,185,14
1627763,1610612738,2022,1000,248,280,18
1627763,1610612757,2023,613,214,148,8
