player_id,team_id,season_id,points_per_game,assists_per_game,rebounds_per_game,blocks_per_game
1630173,1610612748,2021,4.98,0.48,3.41,0.46
1630173,1610612761,2022,9.1,1.12,6.48,0.56
1630173,1610612761,2023,9.24,0.91,5.96,0.55
1630173,1610612761,2024,7.72,1.76,5.44,0.48
1630173,1610612752,2025,6.65,0.96,5.56,0.74
203500,1610612760,2014,3.27,0.53,4.1,0.7
203500,1610612760,2015,7.67,0.94,7.47,1.23
203500,1610612760,2016,7.95,0.78,6.66,1.11
203500,1610612760,2017,11.31,1.07,7.66,0.97
203500,1610612760,2018,13.89,1.16,9.01,1.03
203500,1610612760,2019,13.85,1.55,9.5,0.95
203500,1610612760,2020,10.86,2.32,9.25,1.06
203500,1610612740,2021,7.55,1.91,8.86,0.66
203500,1610612763,2022,6.95,3.37,10.0,0.79
203500,1610612763,2023,8.6,2.31,11.55,1.1
203500,1610612745,2025,3.88,1.14,5.64,0.48
1628389,1610612748,2018,6.91,1.46,5.52,0.59
1628389,1610612748,2019,8.89,2.24,7.28,0.79
1628389,1610612748,2020,15.92,5.11,10.21,1.29
1628389,1610612748,2021,18.7,5.41,8.95,1.03
1628389,1610612748,2022,19.07,3.39,10.07,0.79
1628389,1610612748,2023,20.39,3.2,9.17,0.81
1628389,1610612748,2024,19.25,3.92,10.38,0.93
1628389,1610612748,2025,18.08,4.32,9.6,0.68
1630534,1610612762,2023,7.92,1.14,2.05,0.25
1630534,1610612762,2024,5.37,0.92,2.47,0.57
1630534,1610612761,2025,10.42,1.53,3.78,0.47
1630583,1610612763,2022,4.12,0.66,2.72,0.31
1630583,1610612763,2023,9.04,1.26,4.82,0.62
1630583,1610612763,2024,10.72,2.26,5.77,0.89
1630583,1610612763,2025,12.48,2.89,6.4,0.45
1641725,1610612743,2025,1.33,0.46,0.5,0.04
1629638,1610612740,2020,5.68,1.89,1.79,0.17
1629638,1610612740,2021,11.04,2.22,3.13,0.48
1629638,1610612740,2022,12.78,2.78,3.28,0.38
1629638,1610612762,2023,6.33,2.11,1.64,0.39
1629638,1610612750,2024,7.99,2.49,2.04,0.51
1629638,1610612750,2025,9.43,2.72,3.23,0.41
1628960,1610612762,2019,5.55,0.66,0.61,0.16
1628960,1610612763,2020,8.68,1.37,2.24,0.05
1628960,1610612763,2021,10.64,2.16,3.2,0.16
1628960,1610612749,2022,11.11,1.52,3.36,0.27
1628960,1610612749,2023,10.42,2.26,3.29,0.19
1628960,1610612756,2024,13.52,3.03,3.93,0.6
1628960,1610612756,2025,10.62,2.14,3.03,0.3
1628386,1610612751,2018,8.15,0.68,5.39,1.22
1628386,1610612751,2019,10.91,1.38,8.4,1.5
1628386,1610612751,2020,11.07,1.57,9.59,1.31
1628386,1610612751,2021,11.17,1.67,10.42,1.58
1628386,1610612739,2022,16.14,1.64,10.75,1.34
1628386,1610612739,2023,14.25,1.66,9.79,1.24
1628386,1610612739,2024,16.51,2.73,10.53,1.05
1628386,1610612739,2025,13.45,1.93,9.73,0.89
1630631,1610612740,2022,6.11,2.81,1.85,0.13
1630631,1610612740,2023,9.02,3.05,2.31,0.16
1630631,1610612740,2024,7.09,2.09,2.29,0.27
1630631,1610612740,2025,10.34,4.62,2.43,0.25
203937,1610612759,2015,2.24,0.85,2.18,0.21
203937,1610612759,2016,4.49,1.58,3.13,0.37
203937,1610612759,2017,3.42,1.26,2.89,0.36
203937,1610612759,2018,7.91,2.73,5.35,0.81
203937,1610612763,2019,8.05,2.98,5.84,0.86
203937,1610612763,2020,5.82,2.42,4.25,0.55
203937,1610612763,2021,12.38,3.62,5.74,0.83
203937,1610612763,2022,7.55,2.65,5.33,0.65
203937,1610612750,2023,9.38,4.86,5.33,0.91
203937,1610612750,2024,6.41,4.19,3.46,0.59
203937,1610612744,2025,5.25,2.25,3.06,0.56
203507,1610612749,2014,6.82,1.95,4.4,0.79
203507,1610612749,2015,12.72,2.56,6.69,1.05
203507,1610612749,2016,16.88,4.31,7.65,1.41
203507,1610612749,2017,22.9,5.42,8.75,1.89
203507,1610612749,2018,26.85,4.81,10.04,1.41
203507,1610612749,2019,27.69,5.89,12.47,1.53
203507,1610612749,2020,29.48,5.62,13.59,1.05
203507,1610612749,2021,28.15,5.85,11.0,1.2
203507,1610612749,2022,29.88,5.79,11.61,1.36
203507,1610612749,2023,31.1,5.7,11.78,0.81
203507,1610612749,2024,30.44,6.52,11.52,1.08
203507,1610612749,2025,30.39,6.46,11.91,1.16
1630175,1610612753,2021,12.87,4.09,4.7,0.38
1630175,1610612753,2022,16.34,5.68,5.35,0.26
1630175,1610612753,2023,13.02,3.92,4.8,0.52
1630175,1610612753,2024,11.57,2.91,3.84,0.46
1630175,1610612753,2025,9.4,2.85,3.04,0.48
1628384,1610612761,2018,5.92,0.74,2.49,0.19
1628384,1610612761,2019,7.0,0.7,2.94,0.33
1628384,1610612761,2020,10.62,1.57,5.28,0.65
1628384,1610612761,2021,15.86,2.19,5.51,0.74
1628384,1610612761,2022,17.12,2.6,5.5,0.52
1628384,1610612761,2023,16.78,1.96,4.96,0.75
