season_id,season_type,season_start_date,season_end_date
2024,Regular Season,2023-10-01,2024-04-15
2023,Regular Season,2022-10-01,2023-04-15
2022,Regular Season,2021-10-01,2022-04-15
2021,Regular Season,2020-10-01,2021-04-15
2020,Regular Season,2019-10-01,2020-04-15
2019,Regular Season,2018-10-01,2019-04-15
2018,Regular Season,2017-10-01,2018-04-15
2017,Regular Season,2016-10-01,2017-04-15
2016,Regular Season,2015-10-01,2016-04-15
2015,Regular Season,2014-10-01,2015-04-15
2014,Regular Season,2013-10-01,2014-04-15
2013,Regular Season,2012-10-01,2013-04-15
2012,Regular Season,2011-10-01,2012-04-15
2011,Regular Season,2010-10-01,2011-04-15
2010,Regular Season,2009-10-01,2010-04-15
2009,Regular Season,2008-10-01,2009-04-15
2008,Regular Season,2007-10-01,2008-04-15
2007,Regular Season,2006-10-01,2007-04-15
2006,Regular Season,2005-10-01,2006-04-15
2005,Regular Season,2004-10-01,2005-04-15
2004,Regular Season,2003-10-01,2004-04-15
2003,Regular Season,2002-10-01,2003-04-15
