team_id,team_name,city,abbreviation
1610612737,Atlanta Hawks,Atlanta,ATL
1610612738,Boston Celtics,Boston,BOS
1610612739,Cleveland Cavaliers,Cleveland,CLE
1610612740,New Orleans Pelicans,New Orleans,NOP
1610612741,Chicago Bulls,Chicago,CHI
1610612742,Dallas Mavericks,Dallas,DAL
1610612743,Denver Nuggets,Denver,DEN
1610612744,Golden State Warriors,Golden State,GSW
1610612745,Houston Rockets,Houston,HOU
1610612746,Los Angeles Clippers,Los Angeles,LAC
1610612747,Los Angeles Lakers,Los Angeles,LAL
1610612748,Miami Heat,Miami,MIA
1610612749,Milwaukee Bucks,Milwaukee,MIL
1610612750,Minnesota Timberwolves,Minnesota,MIN
1610612751,Brooklyn Nets,Brooklyn,BKN
1610612752,New York Knicks,New York,NYK
1610612753,Orlando Magic,Orlando,ORL
1610612754,Indiana Pacers,Indiana,IND
1610612755,Philadelphia 76ers,Philadelphia,PHI
1610612756,Phoenix Suns,Phoenix,PHX
1610612757,Portland Trail Blazers,Portland,POR
1610612758,Sacramento Kings,Sacramento,SAC
1610612759,San Antonio Spurs,San Antonio,SAS
1610612760,Oklahoma City Thunder,Oklahoma City,OKC
1610612761,Toronto Raptors,Toronto,TOR
1610612762,Utah Jazz,Utah,UTA
1610612763,Memphis Grizzlies,Memphis,MEM
1610612764,Washington Wizards,Washington,WAS
1610612765,Detroit Pistons,Detroit,DET
1610612766,Charlotte Hornets,Charlotte,CHA
